"","state","state_po","state_fips","county_fips","county_name","swingrep","swingages_20_29","swingages_30_44","swingages_45_64","swingages_65_plus","swingmale","swingwhite","swingturnout","unemp","urbanrural","swingincome","swingeduc"
"2248","PENNSYLVANIA","PA",42,65,"jefferson",0.0589533931824409,-0.00298926086947435,-0.00570590574131569,-0.00421061158081376,0.0129057781916038,0.00549184907660327,-0.00250607702204619,0.0419794088577872,0.069265306122449,0,0.0553214924962137,0.17649217707004
"2249","PENNSYLVANIA","PA",42,67,"juniata",0.0717073294054539,-0.00340910772390834,-0.0138527365952378,0.000869145648368652,0.0163926986707775,0.00356348667270628,-0.00553346050069736,0.0588350423523155,0.0579795918367347,0,0.18009436215958,0.142958494289078
"2250","PENNSYLVANIA","PA",42,69,"lackawanna",0.10972166512385,-0.00506356762743002,-0.00292099179431413,-0.00458185534638805,0.0125664147681322,0.00421276182907876,-0.0127009541474143,0.0336369676980126,0.0663877551020408,1,0.0860116314661769,0.0968188610447902
"2251","PENNSYLVANIA","PA",42,71,"lancaster",-0.0154539378839047,0.000358504376475388,-0.00555985713684121,-0.0117257548655514,0.0169271076259173,0.00207803474684348,-0.00725771558076316,0.0263136746849519,0.0477142857142857,1,0.14131101676197,0.148286965938204
"2252","PENNSYLVANIA","PA",42,73,"lawrence",0.0847850925006695,0.00479194783167991,-0.0129830090342593,-0.00742025271441071,0.0156113139169901,0.00420050290895752,-0.0033328719898944,0.0336103305786809,0.0669387755102041,0,0.0582629120656605,0.0687267240254883
"2253","PENNSYLVANIA","PA",42,75,"lebanon",0.0212622515135718,0.000931113207739476,-0.00578365198491185,-0.0112281494976861,0.0160806882748585,0.00310409210847973,-0.00795278323004589,0.0358658552830794,0.0509387755102041,1,0.113604669180311,0.0984460185932468
"2254","PENNSYLVANIA","PA",42,77,"lehigh",0.00280278360617098,0.00490995478338019,-0.00332874539346734,-0.0113544859079127,0.00977327651799975,0.00376939898337075,-0.0154363214279789,0.0348481177657018,0.0621020408163265,1,0.0897812017109713,0.089677966242543
"2255","PENNSYLVANIA","PA",42,79,"luzerne",0.11424394078132,0.00248731722008277,-0.00787015442594013,-0.00438643336516498,0.00976927057102236,0.00525178591357212,-0.0130155575333043,0.041997686183277,0.0743673469387755,1,0.0981613285883749,0.0995938621295281
"2256","PENNSYLVANIA","PA",42,81,"lycoming",0.04516717145553,-0.00902689930931563,-0.00098860724424063,-0.0073927045431943,0.0174082110967506,0.00201476875731565,-0.0028406969142486,0.0530537363692871,0.0667755102040816,1,0.0514813924287355,0.15392869238796
"2257","PENNSYLVANIA","PA",42,83,"mckean",0.0821944054842444,0.00177912927116847,-0.0157357547067049,0.000124355461515735,0.0138322699740207,0.000883028716475054,0.00182861538006096,0.0485253439920955,0.0683265306122449,0,0.0548786810452095,0.142004194786929
"2258","PENNSYLVANIA","PA",42,85,"mercer",0.0933294487652588,0.00194898545558386,-0.0107926820994276,-0.00655819175854033,0.0154018884023841,0.00556927423234632,-0.00412460190108344,0.0177320185427778,0.061469387755102,1,0.0985956360259981,0.103909883741408
"2259","PENNSYLVANIA","PA",42,87,"mifflin",0.0284238181260512,0.00196267764790276,-0.0149240726685528,-0.00337712057735551,0.0163385155980056,0.00409903012127277,-0.00367088868993282,0.0651608845264117,0.0658163265306122,0,0.107188723570869,0.0868593417296794
"2260","PENNSYLVANIA","PA",42,89,"monroe",0.0516157021547328,0.00728194574686075,-0.0237359958899294,-0.0076232572617207,0.0240773074047894,0.00470848939450119,-0.0180360247397776,0.0481624894702313,0.0747551020408163,1,0.178363178925559,0.0713749492961845
"2261","PENNSYLVANIA","PA",42,91,"montgomery",-0.0486858679779724,0.000260297711570351,-0.00735740377449282,-0.00657555497995244,0.0136726610428749,0.00294960870804939,-0.0125239658276283,0.0139477894464415,0.047469387755102,1,0.0612968078797784,0.0696718375968261
"2262","PENNSYLVANIA","PA",42,93,"montour",0.0239965245235234,0.00176855778138618,0.00500710865916107,-0.0166582630385932,0.009882596598046,0.00428923610770754,-0.0119761752393008,0.0495912195906525,0.0470204081632653,1,0.146687799900124,0.198710993435802
"2263","PENNSYLVANIA","PA",42,95,"northampton",0.0298320516302493,0.00341758408729739,-0.0106720880025992,-0.0111232992623314,0.0183778031776332,0.00455842376185417,-0.00992280693619563,0.037153651652406,0.0599387755102041,1,0.137257171965084,0.116896300205942
"2264","PENNSYLVANIA","PA",42,97,"northumberland",0.106630279375575,-0.00182277018942661,-0.00514325010314975,-0.0073938848538484,0.0143599051464247,0.0040658284519508,-0.0048999343907572,0.0511632495942047,0.0702244897959184,0,0.0778039352457349,0.169361322653393
"2265","PENNSYLVANIA","PA",42,99,"perry",0.0521605008921148,0.00100036829152078,-0.0167901156619786,-0.0129936285510275,0.0287833759214854,0.00347359786905044,-0.00449145868368972,0.0499442222939811,0.0524081632653061,1,0.105935998697175,0.0999878765802957
"2266","PENNSYLVANIA","PA",42,101,"philadelphia",0.0139379441653908,-0.0132060057205185,0.00703115733727105,-0.00234083344279989,0.00851568182604748,0.00282162473329989,-0.0075745411371016,-0.00157975230368956,0.0816734693877551,1,0.167036971205119,0.224365551244381
"2267","PENNSYLVANIA","PA",42,103,"pike",0.0658984475180058,0.00864755840133578,-0.0248740862557699,-0.0163323522740723,0.0325588801285064,0.00726606184433293,-0.00942006877777446,0.0472404934199615,0.0760816326530612,1,0.165065525685531,0.10684269257784
"2268","PENNSYLVANIA","PA",42,105,"potter",0.080743276133029,0.00214237366915043,-0.0151986288436678,-0.0146900809040336,0.027746336078551,0.00254639998838002,-0.00694967100963007,0.0526641393234273,0.0787551020408163,0,0.105964220649285,0.114223880118913
"2269","PENNSYLVANIA","PA",42,107,"schuylkill",0.140734787197576,0.000151233718943544,-0.0124391590064916,-0.00163483945065784,0.0139227647382059,0.00389091882507753,-0.00423598157466931,0.0541101144128454,0.0726122448979592,0,0.102839556355612,0.160653975543583
"2270","PENNSYLVANIA","PA",42,109,"snyder",0.0451118363382591,-0.00184905826858026,-0.013651564580147,-0.00405788242770139,0.0195585052764287,0.0037202995996195,-0.00408926231560247,0.0390853237237598,0.054,0,0.0921559122922072,0.167452679214648
"2271","PENNSYLVANIA","PA",42,111,"somerset",0.0587365879538879,0.00117538980699516,-0.00916747642651197,-0.0114258779742102,0.019417964593727,0.006061955009385,-0.00481316915326291,0.0378585999966804,0.0766530612244898,0,0.0478255939218688,0.114095104559488
"2272","PENNSYLVANIA","PA",42,113,"sullivan",0.0971134066546252,0.00126270650367036,0.00285416390838078,-0.0167912676346411,0.01267439722259,0.00630919281521691,-0.0139549406416876,0.0391067566971182,0.0697551020408163,0,0.0936467895872884,0.226184090089246
"2273","PENNSYLVANIA","PA",42,115,"susquehanna",0.0848644579808817,-0.00385259130287524,-0.0136803516644995,-0.0119394553616466,0.0294723983290214,0.00425446061263379,-0.00444109489744726,0.0471798483159805,0.0611224489795918,0,0.113313502543716,0.117482231551275
"2274","PENNSYLVANIA","PA",42,117,"tioga",0.0758999840499771,-0.0116698961794071,-0.00445782647077139,-0.00714277865078405,0.0232705013009625,0.00257689475939826,-0.00231987682675039,0.046320003809482,0.072795918367347,0,0.0334902296391385,0.0924915974145532
"2275","PENNSYLVANIA","PA",42,119,"union",-0.000227441781350812,-0.00254691231975804,-0.0111802552418547,-0.00516653150812268,0.0188936990697353,-0.00494894685238334,0.00468476862233236,0.0398434832857525,0.0516326530612245,0,0.102397751734035,0.0676142029673939
"2276","PENNSYLVANIA","PA",42,121,"venango",0.0629592597824885,-0.00409546604440203,-0.00721454796374607,-0.0129208895310948,0.0242309035392429,0.00503386507998915,-0.00268618018823186,0.0387079111405321,0.0672244897959184,0,0.0776682480611346,0.158690464385536
"2277","PENNSYLVANIA","PA",42,123,"warren",0.0982009657845212,0.000573913941954302,-0.0135449001977187,-0.00813041739947745,0.0211014036552419,0.00394073561571173,-0.00370496224347405,0.0511688812215133,0.0553673469387755,0,0.0489560244095996,0.0510241555530833
"2278","PENNSYLVANIA","PA",42,125,"washington",0.0432920541332733,0.00290594226573748,-0.00717751442831618,-0.0123072331276194,0.0165788052901981,0.00634438617611488,-0.00351872167347156,0.0363687178113916,0.061,1,0.222229336065049,0.147059261218409
"2279","PENNSYLVANIA","PA",42,127,"wayne",0.0794824732717798,0.0047140372062264,-0.012834324305167,-0.0196089499232219,0.0277292370221624,0.00275473039942964,-0.00146076783517557,0.058231153258711,0.0650408163265306,0,0.116131578205598,0.0674787329675917
"2280","PENNSYLVANIA","PA",42,129,"westmoreland",0.0271436227835103,0.00216236001097811,-0.011804538218271,-0.0105624905824405,0.0202046687897334,0.00370045523247009,-0.00265584554211673,0.0468507419955676,0.0601428571428571,1,0.068156270789842,0.130761801810186
"2281","PENNSYLVANIA","PA",42,131,"wyoming",0.117487066342057,-0.00134497791667559,-0.0143214580464404,-0.0145897061366805,0.0302561420997964,0.00422027806063596,-0.00472024901033619,0.0703744362797812,0.0696326530612245,1,0.067324860833946,0.109925168016476
"2282","PENNSYLVANIA","PA",42,133,"york",0.0251981616336386,0.000732437332563757,-0.0140560731816864,-0.00561994673512528,0.0189435825842479,0.00172082575526539,-0.00681417326864042,0.0333729674069996,0.0542448979591837,1,0.089506838159565,0.108340639821712
"2283","RHODE ISLAND","RI",44,1,"bristol",-0.022174542025395,0.00372686994051363,-0.00562784460336599,-0.00932271275279928,0.0112236874156516,0.00470719572384676,-0.00942402159726474,0.00581170375623252,0.0634489795918367,1,0.0782772175696462,0.109283191616438
"2284","RHODE ISLAND","RI",44,3,"kent",0.0672380930568987,0.00296596046488576,-0.010613366227451,-0.00676685126932747,0.0144142570318928,0.0040356652343419,-0.00852656618541658,0.0116797266568345,0.0676938775510204,1,0.0785899028572592,0.0696270767102577
"2285","RHODE ISLAND","RI",44,5,"newport",-0.018000465557082,0.00155820640489115,-0.00859248477201557,-0.0205472902280956,0.0275815685952201,0.00670370994705921,-0.00635274277262765,-0.000120316877655124,0.0658571428571429,1,0.0682510664229129,0.0955666849689201
"2286","RHODE ISLAND","RI",44,7,"providence",0.0497119099099021,-0.00304735299739919,-0.0034269566107249,-0.00146114580204704,0.00793545541017121,0.00566672340274732,-0.0150442866242562,0.00254485388547676,0.0767959183673469,1,0.0679760974256827,0.101553843058983
"2287","RHODE ISLAND","RI",44,9,"washington",0.0068721852853682,0.0125947734416827,-0.0192500126892341,-0.0211667782063544,0.0278220174539058,0.00241457076548396,-0.00343649414358371,0.0138172422861946,0.0676122448979592,1,0.0763468634686347,0.0685334067500822
"2288","SOUTH CAROLINA","SC",45,1,"abbeville",0.0671655620182723,-0.00151094626904055,-0.0127519018277986,-0.0143036802263772,0.0285665283232162,0.00525591480639731,-0.00373891000106175,0.00725354822072066,0.0741632653061224,0,0.145742198891805,0.263832086896635
"2289","SOUTH CAROLINA","SC",45,3,"aiken",-0.0110373128202519,-0.00698219954930157,-0.00375653194721684,-0.0128575689125183,0.0235963004090367,0.000558562027208998,-0.0072386857379223,0.021979323613488,0.0621428571428571,1,0.10793809841906,0.120427821703762
"2290","SOUTH CAROLINA","SC",45,5,"allendale",0.0183576469342019,0.000399776574885713,-0.0268823915361024,-0.013591529842083,0.0400741448032996,0.00124499025706049,-0.0175449646081491,-0.0317824656262042,0.115244897959184,0,0.100564846605383,-0.145201986649496
"2291","SOUTH CAROLINA","SC",45,7,"anderson",0.0241539298643637,0.00398330386579077,-0.0151333837820489,-0.00601346224577115,0.0171635421620293,0.00121509178296386,-0.00142086512946082,0.0373228905618395,0.0576938775510204,1,0.136637931034483,0.207615399580039
"2292","SOUTH CAROLINA","SC",45,9,"bamberg",0.0358803002884525,-0.00871987590068768,-0.015619926469646,-0.0174148944804261,0.0417546968507598,0.00117093917957367,0.00391781279233638,-0.0163711005796536,0.111142857142857,0,0.138520812328964,0.0196374226521354
"2293","SOUTH CAROLINA","SC",45,11,"barnwell",0.0459301726084738,0.00983415263388371,-0.012868302308698,-0.0204106068228802,0.0234447564976945,0.00864414797776358,-0.00340889287612678,-0.0128894193756041,0.0953469387755102,0,0.108136817505842,0.0879113744969824
"2294","SOUTH CAROLINA","SC",45,13,"beaufort",-0.0357740457003846,-0.0078650426731938,-0.0119811485272637,-0.011190615995997,0.0310368071964545,0.00353506975782425,0.00309325084687939,-0.0115139001374457,0.0553673469387755,1,0.170896122817318,0.0865276461183052
"2295","SOUTH CAROLINA","SC",45,15,"berkeley",-0.00346805879503298,-0.0125705094612253,-0.00440772082037844,-0.00693737000428135,0.0239156002858851,0.00199192182790231,-0.000415623321214587,0.0287266235901992,0.0575102040816327,1,0.146533454435362,0.191458532716124
"2296","SOUTH CAROLINA","SC",45,17,"calhoun",0.0284620777138337,-0.000923273798795365,-0.0142516652916186,-0.022123162175187,0.037298101265601,-0.00422995382229291,0.00243224057994751,-0.0223948933172587,0.0770612244897959,1,0.123175859510265,0.0443461625922123
"2297","SOUTH CAROLINA","SC",45,19,"charleston",-0.0522448191308663,-0.0227690615726939,0.0103104763428908,-0.00689924411796261,0.0193578293477657,0.00111440711158112,0.0115074097828289,0.000594637293517608,0.0495918367346939,1,0.119802987098447,0.12574546710093
"2298","SOUTH CAROLINA","SC",45,21,"cherokee",0.0561167731022445,0.0067000836192008,-0.0177724268728544,-0.0061965449853375,0.0172688882389911,0.00485125136989051,-0.0063916478318603,0.0167295133008964,0.0799795918367347,0,0.102709649780443,0.177883494076277
"2299","SOUTH CAROLINA","SC",45,23,"chester",0.069970170417753,0.00459099769253782,-0.0198255135563204,-0.00682125767573599,0.0220557735395186,0.00294307550616774,-0.00256317757405189,-0.00945330120959376,0.0936938775510204,1,0.103228822091184,0.124500484922663
"2300","SOUTH CAROLINA","SC",45,25,"chesterfield",0.0499759483281248,0.0068554089777326,-0.0265101240175704,-0.00600387512674361,0.0256585901665814,0.000938738428589159,-0.00952293014493666,0.00365337567426177,0.0681020408163265,0,0.151584234930448,0.0366651709199218
"2301","SOUTH CAROLINA","SC",45,27,"clarendon",0.0457494625328738,-0.00183999951429908,-0.00857182183107244,-0.0238511578779266,0.0342629792232982,0.00113992927979545,0.00268526511776757,-0.0272531853564556,0.0828163265306122,0,0.159365531990733,0.100075391964696
"2302","SOUTH CAROLINA","SC",45,29,"colleton",0.0328366878972041,0.00200898512202366,-0.00910119791936689,-0.0157893021904112,0.0228815149877543,0.00355992911648256,0.00187556319040094,-0.00301992030443732,0.0755918367346939,0,0.142862202075291,0.0717461867108304
"2303","SOUTH CAROLINA","SC",45,31,"darlington",0.0263826941543099,0.00949574748846829,-0.0177915677749331,-0.0161264807318873,0.0244223010183521,0.00327138075711947,-0.0104240583077096,0.00315241633190189,0.0770204081632653,1,0.136351917499194,0.0924220395617374
"2304","SOUTH CAROLINA","SC",45,33,"dillon",0.0655366225694162,-0.00187985929556181,-0.00870647249671228,-0.0128245236671561,0.0234108554594302,0.00136993257287321,-0.0169008926717742,-0.0375311008480215,0.0924285714285714,0,0.153550942929064,0.252953820660523
"2305","SOUTH CAROLINA","SC",45,35,"dorchester",-0.0129822851185738,-0.00313488735468243,-0.011790551669549,-0.00715503818227592,0.0220804772065073,0.00168284713761407,-0.00752499308973253,-0.00258641529332015,0.0559591836734694,1,0.0777582674860989,0.10828671783293
"2306","SOUTH CAROLINA","SC",45,37,"edgefield",0.0255411075201043,0.00598095342443095,-0.0176279664622125,-0.0201258753988044,0.031772888436586,0.00269078821955215,0.00620245107317419,0.00155999079033542,0.0667755102040816,1,0.170838823012736,0.0876527926221368
"2307","SOUTH CAROLINA","SC",45,39,"fairfield",0.0212237839057494,0.00617008417198178,-0.019204766100645,-0.0198771503466203,0.0329118322752835,0.000723595948279865,-0.00333872553782116,-0.0184655927024474,0.0866122448979592,1,0.177698213018515,-0.0117668490225113
"2308","SOUTH CAROLINA","SC",45,41,"florence",0.0122071322933917,-0.00103910121609205,-0.0107409827493086,-0.0111162973790583,0.0228963813444589,0.000466402426182622,-0.0123509445100998,-0.006840746742931,0.0678571428571429,1,0.124199557573641,0.0676946363233375
"2309","SOUTH CAROLINA","SC",45,43,"georgetown",0.0155946570467874,0.00317144536180669,-0.0202381301964308,-0.0268267935544959,0.0438934783891201,0.00232694813613604,0.00762273102022715,-0.0143938182909701,0.0847755102040816,0,0.127038331215587,0.177613943521999
"2310","SOUTH CAROLINA","SC",45,45,"greenville",-0.0357639111560872,-0.000893095498910396,-0.0113964688538319,-0.00459035887508835,0.0168799232278307,0.00247246063840451,-0.00591027445577141,0.0194198653831206,0.0513673469387755,1,0.128528543679524,0.135069271712452
"2311","SOUTH CAROLINA","SC",45,47,"greenwood",0.019508196565466,-0.00333003416957919,-0.0153971305245226,-0.00170598596356064,0.0204331506576625,-0.000279643326918488,-0.00764816958530568,0.00276964597720253,0.0674489795918367,0,0.119679051332453,0.055112092242594
"2312","SOUTH CAROLINA","SC",45,49,"hampton",0.036328202153559,0.00269022834966409,-0.0087880690946141,-0.0163155704849083,0.0224134112298584,0.0139318482781103,-0.010655162967739,-0.0136376017022286,0.0780204081632653,0,0.126296381654759,0.0156414251907521
"2313","SOUTH CAROLINA","SC",45,51,"horry",0.0300031472204603,-0.0172498688278848,-0.0164257304865694,-0.00478772569847219,0.0384633250129264,-0.000817791850542593,-0.000518890431482455,0.021480179588203,0.0726938775510204,1,0.157022148252464,0.0707056893986751
"2314","SOUTH CAROLINA","SC",45,53,"jasper",0.0378985699995878,-0.0231301663204098,-0.0232252576263413,-0.00848292981719484,0.0548383537639459,-0.00427445411022764,0.0206829321592383,0.0209342526411963,0.0553673469387755,1,0.228408902175718,0.461707103525048
"2315","SOUTH CAROLINA","SC",45,55,"kershaw",0.0208743324817044,7.88370417313111e-05,-0.00747956967932423,-0.0161123337256395,0.0235130663632324,0.000428199283438346,-0.00481000889952687,0.00387797753567809,0.0634489795918367,1,0.123722879118356,0.0743571400952677
